import time: self [us] | cumulative | imported package
import time:       318 |        318 |                         scipy.sparse._dok
import time:       298 |        298 |                         scipy.sparse._coo
import time:       231 |        231 |                         scipy.sparse._dia
import time:       256 |        256 |                         scipy.sparse._bsr
import time:       849 |        849 |                         scipy.sparse._construct
import time:       471 |        471 |                         scipy.sparse._extract
import time:       175 |        175 |                         scipy.sparse._matrix_io
import time:       328 |        328 |                           scipy._lib.deprecation
import time:       288 |        615 |                         scipy.sparse.base
import time:       318 |        318 |                         scipy.sparse.bsr
import time:       252 |        252 |                         scipy.sparse.compressed
import time:       376 |        376 |                         scipy.sparse.construct
import time:       239 |        239 |                         scipy.sparse.coo
import time:       311 |        311 |                         scipy.sparse.csc
import time:       211 |        211 |                         scipy.sparse.csr
import time:       267 |        267 |                         scipy.sparse.data
import time:       245 |        245 |                         scipy.sparse.dia
import time:       280 |        280 |                         scipy.sparse.dok
import time:       216 |        216 |                         scipy.sparse.extract
import time:       219 |        219 |                         scipy.sparse.lil
import time:       237 |        237 |                         scipy.sparse.sparsetools
import time:       228 |        228 |                         scipy.sparse.sputils
import time:       417 |      55781 |                       scipy.sparse
import time:       642 |      56921 |                     scipy.spatial._ckdtree
import time:       428 |      57349 |                   scipy.spatial._kdtree
import time:       887 |        887 |                     scipy._lib.messagestream
import time:      1029 |       1029 |                             scipy.linalg._fblas
import time:        22 |         22 |                             scipy.linalg._cblas
import time:        12 |         12 |                             scipy.linalg._fblas_64
import time:       305 |       1367 |                           scipy.linalg.blas
import time:      1658 |       1658 |                             scipy.linalg._flapack
import time:        44 |         44 |                             scipy.linalg._clapack
import time:        14 |         14 |                             scipy.linalg._flapack_64
import time:       755 |       2470 |                           scipy.linalg.lapack
import time:       538 |       4374 |                         scipy.linalg._misc
import time:      2073 |       2073 |                           scipy.linalg.cython_lapack
import time:      1587 |       3660 |                         scipy.linalg._cythonized_array_utils
import time:      2365 |       2365 |                           scipy.linalg._decomp
import time:      1117 |       1117 |                           scipy.linalg._decomp_svd
import time:      1075 |       1075 |                           scipy.linalg._solve_toeplitz
import time:      2249 |       6806 |                         scipy.linalg._basic
import time:       999 |        999 |                           scipy.linalg._decomp_lu_cython
import time:       752 |       1750 |                         scipy.linalg._decomp_lu
import time:       608 |        608 |                         scipy.linalg._decomp_ldl
import time:       788 |        788 |                         scipy.linalg._decomp_cholesky
import time:       881 |        881 |                         scipy.linalg._decomp_qr
import time:       806 |        806 |                         scipy.linalg._decomp_qz
import time:       641 |        641 |                         scipy.linalg._decomp_schur
import time:       320 |        320 |                         scipy.linalg._decomp_polar
import time:       568 |        568 |                           scipy.linalg._expm_frechet
import time:       873 |        873 |                           scipy.linalg._matfuncs_schur_sqrtm
import time:       802 |        802 |                           scipy.linalg._matfuncs_expm
import time:       744 |        744 |                           scipy.linalg._linalg_pythran
import time:      1061 |       4046 |                         scipy.linalg._matfuncs
import time:       518 |        518 |                         scipy.linalg._special_matrices
import time:       718 |        718 |                         scipy.linalg._solvers
import time:       450 |        450 |                         scipy.linalg._procrustes
import time:      1000 |       1000 |                           scipy.linalg.cython_blas
import time:      1592 |       2591 |                         scipy.linalg._decomp_update
import time:       471 |        471 |                         scipy.linalg._sketches
import time:       296 |        296 |                         scipy.linalg._decomp_cossin
import time:       208 |        208 |                         scipy.linalg.decomp
import time:       201 |        201 |                         scipy.linalg.decomp_cholesky
import time:       178 |        178 |                         scipy.linalg.decomp_lu
import time:       180 |        180 |                         scipy.linalg.decomp_qr
import time:       238 |        238 |                         scipy.linalg.decomp_svd
import time:       172 |        172 |                         scipy.linalg.decomp_schur
import time:       179 |        179 |                         scipy.linalg.basic
import time:       170 |        170 |                         scipy.linalg.misc
import time:       159 |        159 |                         scipy.linalg.special_matrices
import time:       184 |        184 |                         scipy.linalg.matfuncs
import time:       623 |      32202 |                       scipy.linalg
import time:        12 |      32214 |                     scipy.linalg.cython_lapack
import time:      1110 |      34211 |                   scipy.spatial._qhull
import time:       882 |        882 |                     scipy.spatial._voronoi
import time:       250 |       1131 |                   scipy.spatial._spherical_voronoi
import time:       551 |        551 |                     scipy._lib.decorator
import time:       462 |       1012 |                   scipy.spatial._plotutils
import time:       220 |        220 |                   scipy.spatial._procrustes
import time:       187 |        187 |                           scipy._lib.array_api_extra._lib
import time:       194 |        194 |                               scipy._lib.array_api_extra._lib._utils
import time:       241 |        241 |                                 scipy._lib._array_api_compat_vendor
import time:       327 |        568 |                               scipy._lib.array_api_extra._lib._utils._compat
import time:       181 |        181 |                                 scipy._lib.array_api_extra._lib._utils._typing
import time:       358 |        538 |                               scipy._lib.array_api_extra._lib._utils._helpers
import time:       333 |       1632 |                             scipy._lib.array_api_extra._lib._at
import time:       437 |       2068 |                           scipy._lib.array_api_extra._lib._funcs
import time:       415 |       2669 |                         scipy._lib.array_api_extra._delegation
import time:       231 |        231 |                         scipy._lib.array_api_extra._lib._lazy
import time:       237 |       3137 |                       scipy._lib.array_api_extra
import time:       369 |        369 |                         scipy.special._sf_error
import time:      1040 |       1040 |                           scipy.special._ufuncs_cxx
import time:       826 |        826 |                           scipy.special._ellip_harm_2
import time:      1515 |       1515 |                           scipy.special._special_ufuncs
import time:       855 |        855 |                           scipy.special._gufuncs
import time:      1277 |       5512 |                         scipy.special._ufuncs
import time:      3715 |       3715 |                         scipy.special._support_alternative_backends
import time:       179 |        179 |                           scipy.special._input_validation
import time:      1040 |       1040 |                           scipy.special._specfun
import time:       845 |        845 |                           scipy.special._comb
import time:       312 |        312 |                           scipy.special._multiufuncs
import time:       427 |       2801 |                         scipy.special._basic
import time:       681 |        681 |                         scipy.special._logsumexp
import time:       345 |        345 |                         scipy.special._orthogonal
import time:       380 |        380 |                         scipy.special._spfun_stats
import time:       178 |        178 |                         scipy.special._ellip_harm
import time:       160 |        160 |                         scipy.special._lambertw
import time:       195 |        195 |                         scipy.special._spherical_bessel
import time:       160 |        160 |                         scipy.special.add_newdocs
import time:       205 |        205 |                         scipy.special.basic
import time:       199 |        199 |                         scipy.special.orthogonal
import time:       170 |        170 |                         scipy.special.specfun
import time:       168 |        168 |                         scipy.special.sf_error
import time:       164 |        164 |                         scipy.special.spfun_stats
import time:       334 |      15729 |                       scipy.special
import time:      1049 |       1049 |                       scipy.spatial._hausdorff
import time:      1013 |       1013 |                       scipy.spatial._distance_pybind
import time:       814 |        814 |                       scipy.spatial._distance_wrap
import time:      1348 |      23086 |                     scipy.spatial.distance
import time:       362 |      23448 |                   scipy.spatial._geometric_slerp
import time:       210 |        210 |                   scipy.spatial.ckdtree
import time:       164 |        164 |                   scipy.spatial.kdtree
import time:       167 |        167 |                   scipy.spatial.qhull
import time:      1847 |       1847 |                             scipy.constants._codata
import time:       549 |        549 |                             scipy.constants._constants
import time:       184 |        184 |                             scipy.constants.codata
import time:       200 |        200 |                             scipy.constants.constants
import time:       490 |       3269 |                           scipy.constants
import time:       404 |       3673 |                         scipy.spatial.transform._rotation_groups
import time:      1213 |       4885 |                       scipy.spatial.transform._rotation
import time:      1187 |       6072 |                     scipy.spatial.transform._rigid_transform
import time:       236 |        236 |                     scipy.spatial.transform._rotation_spline
import time:       175 |        175 |                     scipy.spatial.transform.rotation
import time:       203 |       6684 |                   scipy.spatial.transform
import time:       249 |     128061 |                 scipy.spatial
import time:         6 |     128067 |               scipy.spatial.transform
import time:       656 |        656 |               nova.types.vector3d
import time:       532 |     158479 |             nova.types.pose
import time:       486 |        486 |             nova.types.state
import time:       237 |     160211 |           nova.types
import time:         7 |     160217 |         nova.types.motion_settings
import time:      3493 |     163978 |       nova.actions.motions
import time:      1388 |    1315846 |     nova.actions.container
import time:       402 |        402 |     nova.actions.trajectory_builder
import time:       497 |    1430685 |   nova.actions
import time:       829 |        829 |   nova.exceptions
import time:      1675 |       1675 |     nova.viewers.base
import time:      1335 |       1335 |     nova.viewers.manager
import time:       587 |        587 |     nova.viewers.protocol
import time:      1126 |       1126 |       nova.viewers.utils
import time:       872 |       1997 |     nova.viewers.rerun
import time:      1943 |       7537 |   nova.viewers
import time:      3201 |       3201 |           nats.aio
import time:       160 |        160 |           fast_mail_parser
import time:     10939 |      10939 |             nats.js.api
import time:       586 |        586 |               nats.errors
import time:       522 |        522 |               nats.js.errors
import time:      2213 |       2213 |               nats.aio.msg
import time:      3638 |       3638 |               nats.aio.subscription
import time:      1753 |       1753 |               nats.js.kv
import time:       341 |        341 |               nats.js.manager
import time:       771 |        771 |               nats.js.object_store
import time:       747 |      10568 |             nats.js.client
import time:       656 |      22163 |           nats.js
import time:       238 |        238 |           nats.nuid
import time:       193 |        193 |           nats.protocol
import time:       403 |        403 |           nats.protocol.command
import time:       497 |        497 |           nats.protocol.parser
import time:       299 |        299 |           nats.aio.errors
import time:       246 |        246 |           nats.aio.transport
import time:      6561 |      33957 |         nats.aio.client
import time:      1426 |      35382 |       nats
import time:       760 |        760 |                 configparser
import time:       293 |       1052 |               decouple
import time:      1157 |       2209 |             nova.config
import time:       264 |       2473 |           nova.logging
import time:       212 |       2685 |         nova.core
import time:       340 |        340 |               anyio._core
import time:       463 |        803 |             anyio._core._contextmanagers
import time:       284 |        284 |                 sniffio._version
import time:       174 |        174 |                 sniffio._impl
import time:       192 |        649 |               sniffio
import time:       240 |        889 |             anyio._core._eventloop
import time:       231 |        231 |             anyio._core._exceptions
import time:       420 |        420 |                   anyio.abc._eventloop
import time:       167 |        167 |                   anyio.abc._resources
import time:       204 |        204 |                     anyio._core._typedattr
import time:       253 |        253 |                       anyio.abc._tasks
import time:       438 |        691 |                     anyio.abc._streams
import time:       354 |       1248 |                   anyio.abc._sockets
import time:       202 |        202 |                   anyio.abc._subprocesses
import time:       175 |        175 |                   anyio.abc._testing
import time:       593 |        593 |                     anyio.lowlevel
import time:       263 |        263 |                     anyio._core._tasks
import time:       251 |        251 |                     anyio._core._testing
import time:      1265 |       2371 |                   anyio._core._synchronization
import time:       577 |        577 |                   anyio.from_thread
import time:       266 |       5423 |                 anyio.abc
import time:       236 |       5658 |               anyio.to_thread
import time:       458 |       6115 |             anyio._core._fileio
import time:       232 |        232 |             anyio._core._resources
import time:       215 |        215 |             anyio._core._signals
import time:       187 |        187 |                 anyio.streams
import time:      1165 |       1352 |               anyio.streams.stapled
import time:       520 |        520 |               anyio.streams.tls
import time:       507 |       2378 |             anyio._core._sockets
import time:       782 |        782 |               anyio.streams.memory
import time:       227 |       1008 |             anyio._core._streams
import time:       213 |        213 |             anyio._core._subprocesses
import time:       330 |        330 |             anyio._core._tempfile
import time:       469 |      12877 |           anyio
import time:       269 |        269 |               asyncstdlib._typing
import time:       287 |        287 |               asyncstdlib._core
import time:       603 |       1158 |             asyncstdlib.builtins
import time:       200 |        200 |                 asyncstdlib._utility
import time:       656 |        855 |               asyncstdlib.contextlib
import time:       485 |        485 |               asyncstdlib._lrucache
import time:       372 |       1711 |             asyncstdlib.functools
import time:      1068 |       1068 |             asyncstdlib.itertools
import time:       416 |        416 |             asyncstdlib.asynctools
import time:       283 |        283 |             asyncstdlib.heapq
import time:       256 |       4890 |           asyncstdlib
import time:       320 |        320 |                   aiostream.aiter_utils
import time:       344 |        344 |                   aiostream.core
import time:       334 |        997 |                 aiostream.stream.time
import time:       634 |       1630 |               aiostream.stream.create
import time:       461 |        461 |                 aiostream.stream.select
import time:       270 |        270 |                 aiostream.stream.aggregate
import time:       244 |        244 |                     aiostream.manager
import time:       347 |        590 |                   aiostream.stream.advanced
import time:       506 |       1096 |                 aiostream.stream.combine
import time:       325 |       2151 |               aiostream.stream.transform
import time:       369 |        369 |               aiostream.stream.misc
import time:       422 |       4571 |             aiostream.stream
import time:       246 |        246 |             aiostream.pipe
import time:       259 |       5075 |           aiostream
import time:      1013 |      23853 |         nova.cell.robot_cell
import time:       745 |        745 |         nova.version
import time:       708 |      27990 |       nova.core.gateway
import time:       312 |        312 |         nova.cell.io
import time:       461 |        461 |           nova.utils.collision_setup
import time:       178 |        178 |           nova.utils.joint_trajectory
import time:       181 |        181 |           nova.utils.motion_group_settings
import time:       355 |        355 |             nova.cell.movement_controller.move_forward
import time:       209 |        209 |                   blinker._utilities
import time:       533 |        742 |                 blinker.base
import time:       294 |       1035 |               blinker
import time:      1293 |       2328 |             nova.cell.movement_controller.trajectory_cursor
import time:       194 |       2876 |           nova.cell.movement_controller
import time:       232 |        232 |           nova.cell.tuner
import time:       362 |       4288 |         nova.cell.motion_group
import time:      1043 |       5642 |       nova.cell.controller
import time:       866 |      69879 |     nova.cell.cell
import time:       284 |        284 |     nova.cell.controllers
import time:       476 |      70637 |   nova.cell
import time:       205 |        205 |   nova.core.nova
import time:       525 |        525 |         docstring_parser.common
import time:       213 |        213 |           docstring_parser.epydoc
import time:       444 |        444 |           docstring_parser.google
import time:       553 |        553 |           docstring_parser.numpydoc
import time:       231 |        231 |           docstring_parser.rest
import time:       275 |        275 |           docstring_parser.attrdoc
import time:       481 |       2193 |         docstring_parser.parser
import time:       205 |        205 |         docstring_parser.util
import time:       212 |       3134 |       docstring_parser
import time:       213 |        213 |       nova.program.context
import time:      1003 |       4348 |     nova.program.function
import time:       417 |        417 |         exceptiongroup._catch
import time:       175 |        175 |         exceptiongroup._version
import time:       179 |        179 |         exceptiongroup._suppress
import time:       218 |        987 |       exceptiongroup
import time:       369 |        369 |         loguru._defaults
import time:       437 |        437 |               multiprocessing.process
import time:       244 |        244 |               multiprocessing.reduction
import time:       470 |       1150 |             multiprocessing.context
import time:       210 |       1359 |           multiprocessing
import time:       187 |        187 |           loguru._asyncio_loop
import time:       182 |        182 |           loguru._colorama
import time:       178 |        178 |           loguru._filters
import time:       253 |        253 |           loguru._better_exceptions
import time:       333 |        333 |           loguru._colorizer
import time:       199 |        199 |           loguru._contextvars
import time:       370 |        370 |           loguru._datetime
import time:       254 |        254 |           loguru._error_interceptor
import time:       368 |        368 |             glob
import time:       237 |        237 |             loguru._string_parsers
import time:       198 |        198 |             loguru._ctime_functions
import time:       327 |       1128 |           loguru._file_sink
import time:       161 |        161 |           loguru._get_frame
import time:       172 |        172 |             loguru._locks_machinery
import time:       227 |        398 |           loguru._handler
import time:       226 |        226 |           loguru._recattrs
import time:       211 |        211 |           loguru._simple_sinks
import time:       395 |       5828 |         loguru._logger
import time:      2481 |       8677 |       loguru
import time:       736 |        736 |       nova.program.exceptions
import time:       218 |        218 |       nova.program.utils
import time:       187 |        187 |       nova.utils.timestamp
import time:      1806 |      12608 |     nova.program.runner
import time:       197 |      17152 |   nova.program
import time:       541 |    1527584 | nova
import time:       347 |        347 | concurrent.futures.thread
import time:       286 |        286 |   stringprep
import time:       354 |        640 | encodings.idna
2026-01-22 11:26:45.617 | DEBUG    | nova.program.runner:ensure_controller:117 - Creating controller 'ur10e'
2026-01-22 11:26:45.654 | DEBUG    | nova.program.runner:ensure_controller:121 - Created controller 'ur10e' with ID ur10e
2026-01-22 11:26:45.654 | INFO     | nova.program.runner:_set_program_state:424 - Set state of program main run bd17a646-93cd-4c5f-92fe-e3dda91abf15 to ProgramRunState.PREPARING
2026-01-22 11:26:45.654 | INFO     | nova.program.runner:_set_program_state:424 - Set state of program main run bd17a646-93cd-4c5f-92fe-e3dda91abf15 to ProgramRunState.RUNNING
2026-01-22 11:26:45.728 | INFO     | nova.program.runner:_set_program_state:424 - Set state of program main run bd17a646-93cd-4c5f-92fe-e3dda91abf15 to ProgramRunState.COMPLETED
2026-01-22 11:26:45.728 | INFO     | nova.program.runner:_run_program:564 - Program main run bd17a646-93cd-4c5f-92fe-e3dda91abf15 finished. Run teardown routine...
